
4 digit prime number : 1009
i = 1 	 Li = 69383 	 Ri = 771 
i = 2 	 Li = 40886 	 Ri = 526 
i = 3 	 Li = 52777 	 Ri = 309 
i = 4 	 Li = 56915 	 Ri = 411 
i = 5 	 Li = 77793 	 Ri = 100 
i = 6 	 Li = 78335 	 Ri = 642 
i = 7 	 Li = 75386 	 Ri = 720 
i = 8 	 Li = 70492 	 Ri = 871 
i = 9 	 Li = 96649 	 Ri = 794 
i = 10 	 Li = 31421 	 Ri = 142 
i = 11 	 Li = 22362 	 Ri = 164 
i = 12 	 Li = 50027 	 Ri = 586 
i = 13 	 Li = 18690 	 Ri = 528 
i = 14 	 Li = 30059 	 Ri = 798 
i = 15 	 Li = 17763 	 Ri = 610 
i = 16 	 Li = 33926 	 Ri = 629 
i = 17 	 Li = 70540 	 Ri = 919 
i = 18 	 Li = 43426 	 Ri = 39 
i = 19 	 Li = 79172 	 Ri = 470 
i = 20 	 Li = 85736 	 Ri = 980 
i = 21 	 Li = 95211 	 Ri = 365 
i = 22 	 Li = 55368 	 Ri = 882 
i = 23 	 Li = 52567 	 Ri = 99 
i = 24 	 Li = 46429 	 Ri = 15 
i = 25 	 Li = 55782 	 Ri = 287 
i = 26 	 Li = 91530 	 Ri = 720 
i = 27 	 Li = 92862 	 Ri = 34 
i = 28 	 Li = 35123 	 Ri = 817 
i = 29 	 Li = 34067 	 Ri = 770 
i = 30 	 Li = 83135 	 Ri = 397 
i = 31 	 Li = 13929 	 Ri = 812 
i = 32 	 Li = 99802 	 Ri = 920 
i = 33 	 Li = 24022 	 Ri = 815 
i = 34 	 Li = 63058 	 Ri = 500 
i = 35 	 Li = 63069 	 Ri = 511 
i = 36 	 Li = 98167 	 Ri = 294 
i = 37 	 Li = 41393 	 Ri = 24 
i = 38 	 Li = 38456 	 Ri = 114 
i = 39 	 Li = 75011 	 Ri = 345 
i = 40 	 Li = 38042 	 Ri = 709 
i = 41 	 Li = 66229 	 Ri = 644 
i = 42 	 Li = 87373 	 Ri = 599 
i = 43 	 Li = 84421 	 Ri = 674 
i = 44 	 Li = 74919 	 Ri = 253 
i = 45 	 Li = 23784 	 Ri = 577 
i = 46 	 Li = 98537 	 Ri = 664 
i = 47 	 Li = 15198 	 Ri = 63 
i = 48 	 Li = 84324 	 Ri = 577 
i = 49 	 Li = 48315 	 Ri = 892 
i = 50 	 Li = 84370 	 Ri = 623 
i = 51 	 Li = 76413 	 Ri = 738 
i = 52 	 Li = 43526 	 Ri = 139 
i = 53 	 Li = 46091 	 Ri = 686 
i = 54 	 Li = 28980 	 Ri = 728 
i = 55 	 Li = 79956 	 Ri = 245 
i = 56 	 Li = 91873 	 Ri = 54 
i = 57 	 Li = 26862 	 Ri = 628 
i = 58 	 Li = 79170 	 Ri = 468 
i = 59 	 Li = 26996 	 Ri = 762 
i = 60 	 Li = 57281 	 Ri = 777 
i = 61 	 Li = 62305 	 Ri = 756 
i = 62 	 Li = 30925 	 Ri = 655 
i = 63 	 Li = 57084 	 Ri = 580 
i = 64 	 Li = 76327 	 Ri = 652 
i = 65 	 Li = 90336 	 Ri = 535 
i = 66 	 Li = 26505 	 Ri = 271 
i = 67 	 Li = 80846 	 Ri = 126 
i = 68 	 Li = 31729 	 Ri = 450 
i = 69 	 Li = 61313 	 Ri = 773 
i = 70 	 Li = 55857 	 Ri = 362 
i = 71 	 Li = 66124 	 Ri = 539 
i = 72 	 Li = 33895 	 Ri = 598 
i = 73 	 Li = 49582 	 Ri = 141 
i = 74 	 Li = 50545 	 Ri = 95 
i = 75 	 Li = 98814 	 Ri = 941 
i = 76 	 Li = 63367 	 Ri = 809 
i = 77 	 Li = 55434 	 Ri = 948 
i = 78 	 Li = 20364 	 Ri = 184 
i = 79 	 Li = 54043 	 Ri = 566 
i = 80 	 Li = 93750 	 Ri = 922 
i = 81 	 Li = 11087 	 Ri = 997 
i = 82 	 Li = 36808 	 Ri = 484 
i = 83 	 Li = 37276 	 Ri = 952 
i = 84 	 Li = 47178 	 Ri = 764 
i = 85 	 Li = 55788 	 Ri = 293 
i = 86 	 Li = 23584 	 Ri = 377 
i = 87 	 Li = 45403 	 Ri = 1007 
i = 88 	 Li = 72651 	 Ri = 3 
i = 89 	 Li = 92754 	 Ri = 935 
i = 90 	 Li = 62399 	 Ri = 850 
i = 91 	 Li = 29932 	 Ri = 671 
i = 92 	 Li = 55060 	 Ri = 574 
i = 93 	 Li = 89676 	 Ri = 884 
i = 94 	 Li = 83368 	 Ri = 630 
i = 95 	 Li = 37739 	 Ri = 406 
i = 96 	 Li = 80012 	 Ri = 301 
i = 97 	 Li = 16226 	 Ri = 82 
i = 98 	 Li = 18586 	 Ri = 424 
i = 99 	 Li = 18094 	 Ri = 941 
i = 100 	 Li = 67539 	 Ri = 945 

4 digit prime number : 1013
i = 1 	 Li = 70795 	 Ri = 898 
i = 2 	 Li = 80570 	 Ri = 543 
i = 3 	 Li = 91434 	 Ri = 264 
i = 4 	 Li = 20378 	 Ri = 118 
i = 5 	 Li = 37467 	 Ri = 999 
i = 6 	 Li = 96601 	 Ri = 366 
i = 7 	 Li = 80097 	 Ri = 70 
i = 8 	 Li = 82902 	 Ri = 849 
i = 9 	 Li = 23317 	 Ri = 18 
i = 10 	 Li = 40492 	 Ri = 985 
i = 11 	 Li = 76652 	 Ri = 677 
i = 12 	 Li = 30756 	 Ri = 366 
i = 13 	 Li = 67301 	 Ri = 443 
i = 14 	 Li = 20280 	 Ri = 20 
i = 15 	 Li = 74286 	 Ri = 337 
i = 16 	 Li = 29441 	 Ri = 64 
i = 17 	 Li = 33865 	 Ri = 436 
i = 18 	 Li = 19689 	 Ri = 442 
i = 19 	 Li = 98444 	 Ri = 183 
i = 20 	 Li = 26619 	 Ri = 281 
i = 21 	 Li = 78440 	 Ri = 439 
i = 22 	 Li = 34729 	 Ri = 287 
i = 23 	 Li = 78031 	 Ri = 30 
i = 24 	 Li = 68117 	 Ri = 246 
i = 25 	 Li = 18097 	 Ri = 876 
i = 26 	 Li = 15771 	 Ri = 576 
i = 27 	 Li = 54481 	 Ri = 792 
i = 28 	 Li = 30675 	 Ri = 285 
i = 29 	 Li = 30709 	 Ri = 319 
i = 30 	 Li = 68927 	 Ri = 43 
i = 31 	 Li = 94567 	 Ri = 358 
i = 32 	 Li = 97856 	 Ri = 608 
i = 33 	 Li = 49497 	 Ri = 873 
i = 34 	 Li = 92353 	 Ri = 170 
i = 35 	 Li = 24586 	 Ri = 274 
i = 36 	 Li = 76965 	 Ri = 990 
i = 37 	 Li = 95306 	 Ri = 84 
i = 38 	 Li = 94683 	 Ri = 474 
i = 39 	 Li = 66219 	 Ri = 374 
i = 40 	 Li = 18624 	 Ri = 390 
i = 41 	 Li = 41528 	 Ri = 1008 
i = 42 	 Li = 42871 	 Ri = 325 
i = 43 	 Li = 45732 	 Ri = 147 
i = 44 	 Li = 98829 	 Ri = 568 
i = 45 	 Li = 59503 	 Ri = 749 
i = 46 	 Li = 20019 	 Ri = 772 
i = 47 	 Li = 28270 	 Ri = 919 
i = 48 	 Li = 83368 	 Ri = 302 
i = 49 	 Li = 29708 	 Ri = 331 
i = 50 	 Li = 26715 	 Ri = 377 
i = 51 	 Li = 16340 	 Ri = 132 
i = 52 	 Li = 98149 	 Ri = 901 
i = 53 	 Li = 57796 	 Ri = 55 
i = 54 	 Li = 90723 	 Ri = 566 
i = 55 	 Li = 72618 	 Ri = 695 
i = 56 	 Li = 72245 	 Ri = 322 
i = 57 	 Li = 12846 	 Ri = 690 
i = 58 	 Li = 33451 	 Ri = 22 
i = 59 	 Li = 92921 	 Ri = 738 
i = 60 	 Li = 33555 	 Ri = 126 
i = 61 	 Li = 92379 	 Ri = 196 
i = 62 	 Li = 87488 	 Ri = 370 
i = 63 	 Li = 37764 	 Ri = 283 
i = 64 	 Li = 48228 	 Ri = 617 
i = 65 	 Li = 79841 	 Ri = 827 
i = 66 	 Li = 52350 	 Ri = 687 
i = 67 	 Li = 25193 	 Ri = 881 
i = 68 	 Li = 81500 	 Ri = 460 
i = 69 	 Li = 47034 	 Ri = 436 
i = 70 	 Li = 87764 	 Ri = 646 
i = 71 	 Li = 90124 	 Ri = 980 
i = 72 	 Li = 84914 	 Ri = 835 
i = 73 	 Li = 36987 	 Ri = 519 
i = 74 	 Li = 35856 	 Ri = 401 
i = 75 	 Li = 83743 	 Ri = 677 
i = 76 	 Li = 86491 	 Ri = 386 
i = 77 	 Li = 52227 	 Ri = 564 
i = 78 	 Li = 18365 	 Ri = 131 
i = 79 	 Li = 69859 	 Ri = 975 
i = 80 	 Li = 71936 	 Ri = 13 
i = 81 	 Li = 41432 	 Ri = 912 
i = 82 	 Li = 82551 	 Ri = 498 
i = 83 	 Li = 76437 	 Ri = 462 
i = 84 	 Li = 89228 	 Ri = 84 
i = 85 	 Li = 73275 	 Ri = 339 
i = 86 	 Li = 55407 	 Ri = 705 
i = 87 	 Li = 61474 	 Ri = 694 
i = 88 	 Li = 76121 	 Ri = 146 
i = 89 	 Li = 78858 	 Ri = 857 
i = 90 	 Li = 54395 	 Ri = 706 
i = 91 	 Li = 16029 	 Ri = 834 
i = 92 	 Li = 71237 	 Ri = 327 
i = 93 	 Li = 48235 	 Ri = 624 
i = 94 	 Li = 43793 	 Ri = 234 
i = 95 	 Li = 25818 	 Ri = 493 
i = 96 	 Li = 34428 	 Ri = 999 
i = 97 	 Li = 86143 	 Ri = 38 
i = 98 	 Li = 41011 	 Ri = 491 
i = 99 	 Li = 15928 	 Ri = 733 
i = 100 	 Li = 39529 	 Ri = 22 

4 digit prime number : 1019
i = 1 	 Li = 28776 	 Ri = 244 
i = 2 	 Li = 12404 	 Ri = 176 
i = 3 	 Li = 24443 	 Ri = 1006 
i = 4 	 Li = 55763 	 Ri = 737 
i = 5 	 Li = 44613 	 Ri = 796 
i = 6 	 Li = 14538 	 Ri = 272 
i = 7 	 Li = 48606 	 Ri = 713 
i = 8 	 Li = 86840 	 Ri = 225 
i = 9 	 Li = 22904 	 Ri = 486 
i = 10 	 Li = 24818 	 Ri = 362 
i = 11 	 Li = 65128 	 Ri = 931 
i = 12 	 Li = 60688 	 Ri = 567 
i = 13 	 Li = 97369 	 Ri = 564 
i = 14 	 Li = 47917 	 Ri = 24 
i = 15 	 Li = 49917 	 Ri = 1005 
i = 16 	 Li = 76996 	 Ri = 571 
i = 17 	 Li = 93324 	 Ri = 595 
i = 18 	 Li = 17743 	 Ri = 420 
i = 19 	 Li = 59470 	 Ri = 368 
i = 20 	 Li = 72183 	 Ri = 853 
i = 21 	 Li = 68490 	 Ri = 217 
i = 22 	 Li = 65499 	 Ri = 283 
i = 23 	 Li = 49772 	 Ri = 860 
i = 24 	 Li = 16725 	 Ri = 421 
i = 25 	 Li = 15644 	 Ri = 359 
i = 26 	 Li = 65590 	 Ri = 374 
i = 27 	 Li = 47505 	 Ri = 631 
i = 28 	 Li = 98139 	 Ri = 315 
i = 29 	 Li = 12954 	 Ri = 726 
i = 30 	 Li = 59786 	 Ri = 684 
i = 31 	 Li = 37669 	 Ri = 985 
i = 32 	 Li = 38082 	 Ri = 379 
i = 33 	 Li = 68542 	 Ri = 269 
i = 34 	 Li = 58464 	 Ri = 381 
i = 35 	 Li = 90197 	 Ri = 525 
i = 36 	 Li = 19507 	 Ri = 146 
i = 37 	 Li = 69355 	 Ri = 63 
i = 38 	 Li = 38804 	 Ri = 82 
i = 39 	 Li = 96348 	 Ri = 562 
i = 40 	 Li = 88611 	 Ri = 977 
i = 41 	 Li = 53622 	 Ri = 634 
